cmtid,ctime,author_username,comment,rating_star
"6926341941","1639643688","abiyyu.z","Kemasan:oke pake banget. Wangi:wangi . Ketahanan:belum nyoba ditangan. . Ini order ke 3x nya, mexi - fwb - seno , next kalo misal ada abraham, gas sih😂 sayang, kayanya saya kurang cocok sama bau seno ini :(  tapi wangi kokkk, dapat atensi dri temen pas nyobain parfum nyaa, hihi🤭","5"
"6924428520","1639635203","yogiirawan550","Wangi:belum dpt di idung wkwk . Ketahanan:maybe bisa 4sampe 5 lah. Kemasan:cool abis . . mungkin sya awam sama parfum jadi kurang begitu nyium parfum nya hehe ini ke parfum abg sya pas masih bujangan anj wkwk persis sama bau nya yaa lumayan enak si yaa di coba aja lah moga betah","5"
"15687218418","1719831141","raihanrmdn03","wangi nya enak banget seger, semoga awet buat di outdooorrr","5"
"8853288141","1656831104","g*****a","Hmm.. wanginya enak. Semoga beneran tahan lama wanginya..","5"
"7096271179","1641054244","redhyun98","Wangi:Deger. Ketahanan:Tahan. Kemasan:Keren. . wangi enak, suka dan ketahanan nya juga bagus, biat aktifitas seharian masih kecium wangi nya bener bener parfum legit","5"
"6946739922","1639762119","ernaes12","Wangi:bagus banget . Ketahanan:6 jam . Kemasan:bagus banget . . sumpah ya ini recomend banget sih buat yang lagi bingung cari parfume karna ini tuh enak banget wanginya sejatuhcinta itu sama parfume ini","5"
"4995723547","1622977998","agissulistiyanisuhaedi","Kemasan: standar sih layaknya parfum2. Ketahanan:5-7 jam sih kalau diluar ruangan. Wangi:wangi bgt . . Baunya wangi banget . Emang pertama kek nusuk tpi pas berapa detik kemudian wanginya soft gtu .. Ini aku order udah yang ke 4x nya wkwk","5"
"8674506846","1655207521","ranirica","Tekstur:cair. Performa:very good. Cocok Untuk:lakik. . Awalnya iseng beliin ini buat pacar dulu, eh ternyata wanginya sedep. Lanjut beliin terus sampe skrg jadi suami. Heu. Wanginya bikin mau nempel aja deh. Cocok buat LAKIK!","5"
"5181985337","1624575107","wiga_hi","Kemasan:packagingnya bagus. Ketahanan:tahan lama. Wangi:lumayan strong . . Pengemasannya bagus banget, bublewrap nya tebeeeel banget, sumpah wanginya mirip bacarat","5"
"7359245814","1643552686","gustirustandi","Wangi:enak soft banget. Ketahanan:lama. Kemasan:makin kesini onix makin keren kemasan nya. . Ga tau dah ini yg keberapa kali order onix senoparty wkwkk udh nyaman pokonya setia sama onix senoparty... 😍","5"
"4951112755","1622543857","p*****3","Kemasan:baguss . Ketahanan:lama kok. Wangi:mirip baccarat . . bagus bgt mirip baccarat menurutku, yang suka baccarat pasti suka sihhhhgh","5"
"11958223205","1689034907","hadiwijaya457","Tekstur:wanginya kalem, gak bikin eneg. Performa:best. Cocok Untuk:pekerja kantoran atau nongkrong best. . Best dari yg Ter the best. Wanginya GK bikin eneg,  awet, pengiriman cepat, sampai rumah dengan selamat. Tks seller","5"
"3531952419","1607068862","l*****i","Wanginya mengingatkan ku akan seseorang. Lol. Wanginya jossss","5"
"6759833248","1638257784","bayhaqicentre","Kemasan:bagus aman dan tertib. Ketahanan:tahan lama sampe 2 hari. Wangi: ada manisnya. . Barang sampe tujuan dengan ututh baik dan bersegel, makasih onix.id semoga menjadi langganan dan stocknya semakin banyak.","5"
"4576040308","1618807115","p*****a","Kemasan:sangat mengecewakan. Ketahanan:Tahan. Wangi:Lumayan enak. . Tutup botolnya keras ga bisa di buka pas dan malah copot jadinya bocor, gambar di foto sama aslinya beda jadi jelek yg sticker sekarang, kecewa bangettttttt!!!!. ","1"
"3393374629","1605439203","n*****1","Kemasannya keren, wanginya sexy tapi ga bikin pusing serta tahan lama. Di aku makin lama makin keluar aromanya. Sip. Mau nyobain varian lainnya cuma lagi kosong. ","5"
"3497855985","1606641766","lilysuraningrum","Packaging bagus banget. Produknya sampai dgn selamat. Wanginya cukup manis dan lembut. Kalau yg gasuka wangi manis banget, ini bisa ditoleransilah. Unisex juga sih kalau menurutku.","4"
"6246359830","1633960676","l*****f","Pake parfum onix, temen kantor langsung tanya “lo pake parfum apaan? Enak wanginya”😂. Jadi, beliin parfum yg senoparty buat hadiah ultah, karna dia suka wangi yg ini👍🏻","5"
"7944368852","1648965444","salma_salsa_bila09","Wangi:Lebih kaya baccarat wangi nya. Ketahanan:Tahan lama. Kemasan:Bagus aman. . Parfum nya pas di semprot langsung wangi bgt, orang2 nyangka nya ini wangi baccarat padahal bukan😂","5"
"5178604081","1624533892","o*****i","Produk bagusssssssssssssssssssssssssss sesuai dengan ekspektasi","5"
"8107910152","1650275545","andikawijayak","Ketahanan:tahan lama. Kemasan:rapih dan aman. Wangi:kuat dan wangi. . Pcking rapih seller ok aman adan amanah wangi kuat,pokoknya mantap thanksss","5"
"4210636246","1614874266","danibukan","Kemasan:MANTAP MEVVAH👍. Ketahanan:GILA SI KERJA JAM 7 SAMPE PULANG SORE MASI TETEP WANGI KECIUM, EH BESOK NYA MASI NEMPEL JUGA GILSSSS. Wangi:GOSAH DI TANYA, WANGI BETTTTTT PARAHHH","5"
"15341567868","1716994458","s*****i","Aroma:harum. Durabilitas:baik. Tekstur:nyaman. . Sangat membantu nyaman dipakai' dan sangat bagus untuk di pakai sehari 2 next bakal order untuk truss uh keren mantul dan tentunya tdk mengecewakan wkwkwkkwkwk","5"
